ID,Question,Answer
48,Which bbq is nearest to the corner of 113 and 116th Street?,Hibachi Barbecue
49,Which drinking_water is closest to the corner of 10th Street West and 100th Street?,Liquor Beer Wine Grocery
50,Which canteen is nearest to the intersection of 118th Street East and 10th Avenue?,Brandywine
51,Which arcade is nearest to the intersection of 10th Street and 111?,3-Point Basketball Shoot
52,Which donation is closest to where 11th Street meets 116th Street?,Goodwill
53,Which dive_centre is nearest to the intersection of 11th Court and 116th Street East?,Depth Perceptions
54,Which childcare is closest to the corner of 10th Street West and 11th Avenue?,Tiny Heartz Daycare LLC
55,Which charging_station is nearest to the junction of 11th Avenue and 11?,eVgo
56,Which fire_station is nearest to the junction of 117th Street and 10th Street?,Long Beach Fire Station 21
57,Which electronic_repair is closest to where 10th Street meets 10th Street West?,iRepair
58,Which college is nearest to the intersection of 10th Street and 100th Street East?,Distance Education Center
59,Which bbq is nearest to the intersection of 10 and 102nd Street East?,21
60,Which fire_station is nearest to the intersection of 10th Street and 10th Street?,Long Beach Fire Station 21
61,Which car_sharing is closest to the corner of 10th Street and 10th Avenue?,blueLA
62,Which dive_centre is nearest to the intersection of 10th Avenue and 100th Street West?,Depth Perceptions
63,Which fixme is closest to the junction of 110th Street East and 10th Street?,Nature’s Juice
64,Which bureau_de_change is closest to the corner of 100th Street and 100th Street East?,PayDay Advance
65,Which bar is closest to the intersection of 10th Street and 10th Street?,The Villa
66,Which club is nearest to the junction of 103 and 10th Street West?,Mustang Daily
67,Which dancing_school is closest to where 10th Street meets 103rd Street East?,West LA Academy of Dance
68,Which book_return is nearest to the junction of 11th Avenue and 10th Street?,Cerritos Library book return
69,Which community_centre is closest to the intersection of 11th Street and 11th Street?,Huntington Beach Masonic Center
70,Which Comfort Shoe Store is closest to the corner of 10 Jetway and 10?,Feet For Life
71,Which coffee is closest to the intersection of 10th Street West and 10th Street?,Bikes and Brew
72,Which auditorium is nearest to the intersection of 10th Street and 1?,CSL Rm 333 Auditorium
73,Which flight_school is closest to where 119 meets 10th Street West?,Aerocademy
74,Which bar is nearest to the intersection of 110th Street East and 11th Street?,The Villa
75,Which animal_shelter is closest to the corner of 10th Street West and 11th Avenue?,Pasadena Humane Society
76,Which archive is closest to the intersection of 11th Avenue and 116th Street?,Academy of Motion Picture Arts and Sciences Film Archive
77,Which dressing_room is nearest to the corner of 10th Street West and 11th Street?,Locker Rooms
78,Which dressing_room is closest to the corner of 10 and 1?,Locker Rooms
79,Which biergarten is nearest to the intersection of 11 and 10?,Figueroa Mountain Brewing Company
80,Which dressing_room is nearest to the junction of 11th Street and 11th Avenue?,Locker Rooms
81,Which animal_boarding is nearest to the intersection of 10th Street West and 10th Street?,West LA Dogs
82,Which apartment is closest to the corner of 11th Street and 11th Avenue?,Regelin Hall
83,Which computer_lab is nearest to the intersection of 115th Street West and 105th Street East?,Computer Lab
84,Which bear_box is closest to the intersection of 10th Street and 10th Court?,Gould Mesa Trail Camp
85,Which fire_station is closest to the junction of 115th Street East and 10th Street West?,Long Beach Fire Station 21
86,Which bar is nearest to the intersection of 10th Street and 11?,The Villa
87,Which bench is closest to the junction of 100th Street East and 110?,Red Point
88,Which concert_hall is nearest to the corner of 10th Street and 102?,MCASD Sherwood Auditorium
89,Which bbq is closest to the corner of 11th Street and 06031?,Hibachi Barbecue
90,Which bicycle_parking is closest to the intersection of 10th Street West and 10th Street West?,CalArts Bicycle Parking
91,Which courthouse is closest to the junction of 117th Street and 11th Avenue?,San Pedro County Courts Building
92,Which convenience_store is closest to the corner of 10th Street West and 10th Street West?,7-Eleven
93,Which charging_station is nearest to the junction of 11th Street and 10th Street West?,eVgo
94,Which baby_hatch is closest to where 10th Street meets 11th Avenue?,Slo City Midwives
95,Which car_sharing is closest to the junction of 10th Avenue and 11th Place?,blueLA
96,Which community_centre is closest to the intersection of 11th Avenue and 10th Street?,Huntington Beach Masonic Center
97,Which auto_towing is nearest to the intersection of 11th Street and 10th Avenue?,Road One Towing
98,Which art_school is nearest to the corner of 10th Street and 10th Street West?,Art Zone
99,Which atm is closest to where 1 meets 10th Street?,Wells Fargo
100,Which driving_school is closest to the corner of 11th Street and 111?,Freeway Easy Traffic and Driving School
101,Which bank is closest to the corner of 100th Street East and 11th Street?,Chase
102,Which clock is closest to where 10th Street meets 10th Street West?,Daryl D. Smith Clock Tower
103,Which conference_centre is closest to the intersection of 10th Street and 10th Street West?,Long Beach Civic Center
104,Which clock is nearest to the intersection of 10th Street and 11th Street?,Daryl D. Smith Clock Tower
105,Which animal_training is closest to the intersection of 10th Street and 103?,I Said Sit!
106,Which ferry_terminal is closest to where 117th Street East meets 119?,Catalina Express Long Beach Downtown Landing
107,Which bear_box is closest to the intersection of 11th Street and 10th Street West?,Gould Mesa Trail Camp
108,Which car_rental is nearest to the junction of 116th Street East and 10th Street?,Hertz Thrify
109,Which Casting_Center is nearest to the intersection of 10th Street West and 10th Street West?,Disneyland Resort Casting Center
110,Which fast_food is closest to the corner of 117th Street East and 10th Street West?,Jollibee
111,Which binoculars is closest to the intersection of 10th Street West and 112th Street West?,Nob Hill
112,Which animal_boarding is nearest to the corner of 10th Street and 10th Street West?,Canyon View Ranch
113,Which drinking_water is closest to the corner of 10th Street and 11th Street?,Liquor Beer Wine Grocery
114,Which childcare is closest to the junction of 10th Street West and 110?,Tiny Heartz Daycare LLC
115,Which ferry_terminal is nearest to the junction of 10th Street West and 108th Street?,Catalina Express Long Beach Downtown Landing
116,Which dispensary is closest to the corner of 117th Street West and 11th Street?,Southern Lites Collective
117,Which Commercial Printer is closest to where 10th Street meets 107?,Minuteman Press
118,Which book_return is closest to the corner of 10th Street and 10th Avenue?,Cerritos Library book return
119,Which college is nearest to the corner of 102 Trail and 10th Avenue?,Distance Education Center
120,Which coffee is nearest to the intersection of 10th Street and 103rd Street?,Bikes and Brew
121,Which fire_station is nearest to the junction of 11th Street and 10th Street West?,Long Beach Fire Station 21
122,Which biergarten is nearest to the junction of 11th Street and 10th Street West?,Babi's Beer Emporium
123,Which animal_training is nearest to the junction of 100th Street and 10th Street?,Zoom Room
124,Which Addiction Treatment is closest to the junction of 102nd Street East and 110st East?,Compass Recovery
125,Which church is closest to where 11th Street meets 116th Street?,Calvary Chapel Children's Church
126,Which car_wash;car_detail;oil_change is nearest to the junction of 11th Street and 11th Street?,Vineyard Car Wash
127,Which events_venue is closest to where 10th Street West meets 11th Street?,Cabrillo Marina Plaza Oceanview Fountain
128,Which childcare is closest to the junction of 110th Street East and 1?,Tiny Heartz Daycare LLC
129,Which bbq is closest to the intersection of 10th Avenue and 11th Street?,20
130,Which Attorneys is nearest to the junction of 10th Street West and 10th Street West?,Law Office of Raymond Perez
131,Which Casting_Center is nearest to the junction of 10th Street West and 10th Avenue?,Disneyland Resort Casting Center
132,Which convenience_store is nearest to the corner of 10th Street and 10th Avenue?,7-Eleven
133,Which dentist is closest to the intersection of 103rd Street East and 10th Street?,ACE Dental
134,Which car_sharing is closest to the corner of 10th Street and 115th Street East?,SLO Safe Ride
135,Which clinic is nearest to the corner of 10th Street and 10th Street?,medical offices
136,Which charging_station is closest to where 10th Street West meets 10th Street West?,eVgo
137,Which exhibition_centre is closest to the corner of 11th Street and 114th Street West?,Van De Kamp Hall
138,Which cafe is nearest to the corner of 106th Street East and 11th Place?,Skyway cafe
139,Which donation is nearest to the junction of 10R and 10th Street West?,Goodwill
140,Which doctors is nearest to the intersection of 11th Street and 108th Street East?,Bay Chiropractic
141,Which biergarten is nearest to the junction of 10th Avenue and 10th Street?,Figueroa Mountain Brewing Company
142,Which audiologist is closest to where 116 meets 10th Street?,HearUSA
143,Which coworking_space is closest to the intersection of 11th Place and 10th Street West?,Kernville Cowork
144,Which bar is nearest to the intersection of 111th Street and 11th Place?,The Villa
145,Which Attorneys is closest to the junction of 117th Street West and 10th Street East?,Law Office of Raymond Perez
146,Which family_planning is closest to the intersection of 10th Street and 1?,West Coast Surrogacy
147,Which clinic is closest to the corner of 11th Street and 10th Avenue?,medical offices
148,Which boat_rental is closest to the corner of 10th Avenue and 11th Place?,Bluewater Sailing
149,Which dancing_school is closest to the junction of 10 and 10th Street West?,Vernetta's Dance Studio
150,Which construction is closest to the junction of 119 and 110th Street East?,Fish District Eatery
151,Which donation is nearest to the corner of 10th Street West and 117th Street East?,Goodwill
152,Which conference_centre is nearest to the intersection of 103 and 10th Court?,Long Beach Civic Center
153,Which conference_centre is closest to the intersection of 117 and 106th Street East?,Long Beach Civic Center
154,Which baby_hatch is closest to the corner of 10th Avenue and 10th Street East?,Slo City Midwives
155,Which construction is closest to the intersection of 115th Street and 108?,Fish District Eatery
156,Which bear_box is closest to the intersection of 115th Street West and 10th Street West?,Gould Mesa Trail Camp
157,Which bicycle_repair_station is closest to where 114 meets 11th Street?,Pico Rivera Golf
158,Which bank is nearest to the junction of 10th Street West and 10th Street West?,Chase
159,Which auto_towing is nearest to the junction of 10th Street and 10?,Road One Towing
160,Which car_wash is closest to the junction of 10th Street and 10th Avenue?,Express Car Wash
161,Which dive_centre is nearest to the intersection of 100th Street East and 11th Street?,Depth Perceptions
162,Which dressing_room is closest to the intersection of 11th Street and 06031?,Locker Rooms
163,Which donation is closest to where 117th Street meets 119th Street West?,Goodwill
164,Which dojo is closest to where 11th Street meets 11th Street?,Caique Jiu Jitsu
165,Which animal_training is closest to where 11th Avenue meets 111?,I Said Sit!
166,Which car_wash is nearest to the corner of 11th Street and 1?,Express Car Wash
167,Which car_wash is closest to where 10th Street meets 11th Avenue?,Express Car Wash
168,Which construction is closest to the intersection of 10th Street East and 115th Street East?,Fish District Eatery
169,Which archive is nearest to the junction of 10th Street West and 11th Street?,Academy of Motion Picture Arts and Sciences Film Archive
170,Which exhibition_centre is closest to where 11th Helena Drive meets 10th Avenue?,Van De Kamp Hall
171,Which car_wash is closest to the junction of 11th Street and 11th Street?,Express Car Wash
172,Which conference_centre is closest to the intersection of 10th Street and 115th Street?,Long Beach Civic Center
173,Which doctors is closest to the corner of 10th Street West and 1?,Bay Chiropractic
174,Which concert_hall is nearest to the intersection of 10th Street and 11th Street?,MCASD Sherwood Auditorium
175,Which car_wash is closest to the corner of 10th Street West and 10th Street?,Express Car Wash
176,Which convenience_store is closest to the corner of 10th Street and 107th Street East?,7-Eleven
177,Which bicycle_rental is closest to where 106th Street meets 10th Street West?,Willow St & Mateo St
178,Which canteen is closest to the junction of 10th Street and 10th Street West?,Brandywine
179,Which concert_hall is nearest to the intersection of 107th Street West and 118?,MCASD Sherwood Auditorium
180,Which cafe is closest to the intersection of 111th Street and 100th Street East?,Skyway cafe
181,Which bear_box is closest to the intersection of 10th Street West and 10th Street?,Gould Mesa Trail Camp
182,Which dive_centre is nearest to the intersection of 10th Court and 10th Street West?,Depth Perceptions
183,Which Attorneys is closest to where 10th Street West meets 11th Street?,Law Office of Raymond Perez
184,Which flight_school is nearest to the junction of 117 and 11th Street?,Aerocademy
185,Which coffee is nearest to the corner of 11th Street and 11th Street?,Bikes and Brew
186,Which dive_centre is nearest to the intersection of 10th Street West and 10th Avenue?,Depth Perceptions
187,Which drinking_water is closest to the junction of 10th Avenue and 110th Street East?,Liquor Beer Wine Grocery
188,Which Comfort Shoe Store is closest to the intersection of 10th Street and 10th Street?,Feet For Life
189,Which cooking_school is closest to the junction of 11th Street and 102nd Street East?,Claremont Chefs Academy
190,Which bbq is nearest to the junction of 10th Street West and 11th Avenue?,Hibachi Barbecue
191,Which Artificial Grass is nearest to the intersection of 10th Street and 106th Street East?,Big Bully Turf
192,Which cinema is closest to the junction of 10th Street and 10th Street?,Cinemark
193,Which bar is closest to the intersection of 10th Street and 11th Street?,The Villa
194,Which binoculars is closest to where 10th Street West meets 117th Street East?,Nob Hill
195,Which concert_hall is closest to the corner of 10th Street West and 118?,MCASD Sherwood Auditorium
196,Which donation is closest to the intersection of 112 and 10th Street?,Goodwill
197,Which car_rental is nearest to the junction of 10th Street West and 10th Street?,Hertz Thrify
198,Which driving_school is nearest to the corner of 100 and 10th Avenue?,Freeway Easy Traffic and Driving School
199,Which book_return is closest to the corner of 10th Street West and 11th Street?,Cerritos Library book return
200,Which casino is nearest to the junction of 10th Street and 10th Street?,The Commerce Casino
201,Which arts_centre is closest to the intersection of 10th Street West and 1?,Anaheim Cultural Arts Center
202,Which flight_school is closest to the intersection of 10th Street and 10th Street West?,South Bay Aviation
203,Which fire_station is nearest to the corner of 10th Street and 11th Street?,Long Beach Fire Station 21
204,Which club is nearest to the intersection of 110 and 10th Street West?,Mustang Daily
205,Which canteen is closest to the intersection of 10th Court and 11th Street?,The Anteatery
206,Which coworking_space;daycare is closest to the intersection of 1 and 11th Street?,Collab&Play
207,Which bbq is closest to the junction of 11th Street and 101st Street?,Hibachi Barbecue
208,Which animal_training is nearest to the intersection of 11th Street and 10th Avenue?,I Said Sit!
209,Which charity_donation is closest to the corner of 10th Street East and 10th Street?,Savers Donation Area
210,Which baby_hatch is nearest to the intersection of 11th Street and 112 Street East?,Slo City Midwives
211,Which audiologist is nearest to the junction of 10th Place and 117th Street West?,HearUSA
212,Which bear_box is nearest to the junction of 10th Street West and 10th Street West?,Gould Mesa Trail Camp
213,Which bar is nearest to the intersection of 11th Street and 10th Street?,The Villa
214,Which cinema is closest to the corner of 10th Street West and 11th Street?,Cinemark
215,Which audiologist is closest to the junction of 10th Avenue and 118th Street East?,HearUSA
216,Which dancing_school is closest to the corner of 10th Avenue and 10th Street West?,West LA Academy of Dance
217,Which arcade is nearest to the junction of 10th Street and 10th Street?,3-Point Basketball Shoot
218,Which book_return is closest to the corner of 11th Avenue and 118th Street East?,Cerritos Library book return
219,Which clock is closest to the corner of 11th Street and 10th Street West?,Daryl D. Smith Clock Tower
220,Which conference_centre is closest to the junction of 11th Street and 11th Court?,Long Beach Civic Center
221,Which book_return is closest to the intersection of 10th Avenue and 10?,Cerritos Library book return
222,Which exhibition_centre is closest to the junction of 10th Street West and 10th Street West?,Van De Kamp Hall
223,Which coworking_space;daycare is closest to the corner of 108 and 10th Street?,Collab&Play
224,Which family_planning is closest to where 11th Street meets 10th Street?,West Coast Surrogacy
225,Which coworking_space;daycare is nearest to the junction of 10th Street and 11th Street?,Collab&Play
226,Which atm is nearest to the intersection of 10th Street and 117th Street East?,Wells Fargo
227,Which Comfort Shoe Store is closest to the junction of 10th Street West and 11th Place?,Feet For Life
228,Which ferry_terminal is closest to where 10th Street meets 10th West?,Catalina Express Long Beach Downtown Landing
229,Which construction is nearest to the intersection of 1 and 10th Street West?,Fish District Eatery
230,Which dentist is nearest to the junction of 111th Street East and 113th Street East?,ACE Dental
231,Which concert_hall is closest to the junction of 100th Street West and 10th Street?,MCASD Sherwood Auditorium
232,Which bench is closest to where 110th Street meets 100th Street?,Red Point
233,Which courthouse;library is closest to the junction of 10th Street West and 115th Street?,Imperial County Courthouse;Imperial County Law Library
234,Which bench is nearest to the intersection of 10th Street West and 116th Street?,Red Point
235,Which club is nearest to the corner of 10th Street West and 11th Street?,Mustang Daily
236,Which dive_centre is nearest to the junction of 110th Street East and 11th Street?,Depth Perceptions
237,Which bear_box is closest to the junction of 10th Street West and 11th Avenue?,Gould Mesa Trail Camp
238,Which donation is closest to where 103rd Street East meets 1:00?,Goodwill
239,Which computer_lab is closest to the junction of 1 and 10th Street West?,Computer Lab
240,Which conference_centre is closest to the corner of 11 and 107th Street East?,Long Beach Civic Center
241,Which dancing_school is closest to the intersection of 10th Avenue and 10th Street West?,Inspired Movement
242,Which bench is closest to the corner of 10th Street West and 11th Street?,Red Point
243,Which dressing_room is nearest to the junction of 116 and 10th Street West?,Locker Rooms
244,Which fire_station is nearest to the junction of 117th Street East and 116?,Long Beach Fire Station 21
245,Which bbq is nearest to the intersection of 115th Street West and 10th Street West?,Campfire Center
246,Which dentist is nearest to the junction of 11 and 110th Street West?,ACE Dental
247,Which fire_station is closest to the corner of 11th Street and 10th Street West?,Long Beach Fire Station 21
248,Which computer_lab is closest to where 10th Street meets 10th Street?,Computer Lab
249,Which art_work is nearest to the intersection of 11th Street and 118th Street East?,Stanley
250,Which courthouse;library is closest to the corner of 10th Street West and 11th Court?,Imperial County Courthouse;Imperial County Law Library
251,Which dojo is closest to the intersection of 10th Street and 11th Street?,Caique Jiu Jitsu
252,Which check_cashing is closest to the corner of 117th Street and 10th Avenue?,Nix / Payday Today Check Cashing
253,Which apartment is closest to the junction of 113 and 10th Street West?,Regelin Hall
254,Which bus_station is closest to the corner of 116th Street and 109th Street?,Long Beach Transit Gallery
255,Which dancing_school is nearest to the corner of 117th Street East and 113?,Vernetta's Dance Studio
256,Which college is closest to where 116th Street meets 10th Street West?,Distance Education Center
257,Which check_cashing is closest to where 10th Street meets 11th Street?,Nix / Payday Today Check Cashing
258,Which dressing_room is nearest to the intersection of 111 and 10th Street West?,Locker Rooms
259,Which archive is closest to the intersection of 10th Avenue and 1?,Academy of Motion Picture Arts and Sciences Film Archive
260,Which dive_centre is closest to the intersection of 10th Avenue and 10th Street?,Depth Perceptions
261,Which bureau_de_change is nearest to the corner of 10th Street West and 116th Street?,PayDay Advance
262,Which atm is closest to where 108th Street meets 10th Street?,Wells Fargo
263,Which conference_centre is closest to where 100th Street meets 10th Street West?,Long Beach Civic Center
264,Which cafe is nearest to the junction of 10th Street and 115th Street East?,Skyway cafe
265,Which events_venue is closest to where 10th Street meets 10th Avenue?,Cabrillo Marina Plaza Oceanview Fountain
266,Which art_work is nearest to the intersection of 10th Avenue and 102?,Stanley
267,Which computer_lab is closest to the junction of 11th Avenue and 117th Street?,Computer Lab
268,Which art_work is nearest to the junction of 117th Street East and 116th Street?,Stanley
269,Which boat_rental is nearest to the intersection of 11th Avenue and 115th Street West?,Bluewater Sailing
270,Which club is closest to the junction of 10th Street and 10th Avenue?,Mustang Daily
271,Which family_planning is closest to the junction of 105th Street West and 10th Street?,West Coast Surrogacy
272,Which electronic_repair is closest to where 10th Street West meets 10th Street West?,iRepair
273,Which animal_shelter is closest to the intersection of 100th Street East and 10th Street West?,Pasadena Humane Society
274,Which cafe is nearest to the corner of 107 and 10th Street?,Skyway cafe
275,Which arts_centre is closest to the intersection of 10th Street and 10th Street West?,Anaheim Cultural Arts Center
276,Which clock is closest to the junction of 119th Street and 10th Street?,Daryl D. Smith Clock Tower
277,Which flight_school is closest to the intersection of 10th Street West and 100th Street West?,South Bay Aviation
278,Which Commercial Printer is nearest to the junction of 10th Street and 10th Street?,Minuteman Press
279,Which concert_hall is nearest to the intersection of 11th Street and 11th Avenue?,MCASD Sherwood Auditorium
280,Which car_wash is closest to the intersection of 11th Street and 10th Street West?,Express Car Wash
281,Which bear_box is closest to the junction of 11th Street and 10th Street West?,Gould Mesa Trail Camp
282,Which driving_school is nearest to the intersection of 11th Avenue and 10th Street West?,Freeway Easy Traffic and Driving School
283,Which audiologist is closest to the junction of 10th Avenue and 11th Street?,HearUSA
284,Which fast_food is closest to the corner of 10th Street and 11th Street?,Jollibee
285,Which fire_station is closest to where 10th Street West meets 11th Street?,Long Beach Fire Station 21
286,Which car_wash is nearest to the intersection of 10th Street and 110th Street East?,Express Car Wash
287,Which bbq is closest to where 10th Street meets 11th Street?,Hibachi Barbecue
288,Which cooking_school is closest to the corner of 10th Street West and 11th Street?,Claremont Chefs Academy
289,Which dive_centre is nearest to the corner of 10th Street West and 104th Street East?,Depth Perceptions
290,Which ferry_terminal is nearest to the junction of 117th Street West and 118th Street?,Catalina Express Long Beach Downtown Landing
291,Which disused is closest to the intersection of 10th Avenue and 10th Place?,Boubouffe
292,Which fast_food is closest to where 10th Street East meets 10th Street?,Jollibee
293,Which courthouse;library is closest to where 10th Street West meets 107th Street?,Imperial County Courthouse;Imperial County Law Library
294,Which check_in is nearest to the intersection of 10th Avenue and 10 Canyon?,Ticketing | Check In
295,Which coffee is closest to the junction of 10th Street West and 103rd Street East?,Bikes and Brew
296,Which animal_boarding is nearest to the corner of 10th Street East and 11th Street?,Canyon View Ranch
297,Which conference_centre is nearest to the intersection of 109 and 10th Street?,Long Beach Civic Center
298,Which bureau_de_change is closest to the intersection of 105th Street West and 118?,PayDay Advance
299,Which boat_rental is nearest to the intersection of 113th Street East and 11th Place?,Bluewater Sailing
300,Which fast_food is closest to the intersection of 11th Avenue and 10th Street?,Jollibee
301,Which dancing_school is nearest to the junction of 10th Avenue and 117th Street?,Vernetta's Dance Studio
302,Which bicycle_rental is closest to where 1 meets 119th Place?,Willow St & Mateo St
303,Which auto_towing is closest to where 11th Street meets 10th Street West?,Road One Towing
304,Which fast_food is nearest to the intersection of 110 and 1?,Jollibee
305,Which cinema is nearest to the intersection of 112th Street East and 11th Street?,Cinemark
306,Which animal_shelter is nearest to the intersection of 107 and 11th Avenue?,Pasadena Humane Society
307,Which bus_station is closest to the corner of 114th Street West and 10th Street?,Long Beach Transit Gallery
308,Which biergarten is closest to the corner of 10th Street and 104th Street East?,Babi's Beer Emporium
309,Which animal_training is closest to where 10th Avenue meets 10th Street East?,I Said Sit!
310,Which bicycle_parking is closest to the junction of 10th Street and 11th Court?,CalArts Bicycle Parking
311,Which bureau_de_change is closest to the corner of 105 Trail and 115th Street West?,PayDay Advance
312,Which cinema is closest to where 113th Street East meets 11th Avenue?,Cinemark
313,Which cafe is nearest to the junction of 10th Street West and 117th Street West?,Skyway cafe
314,Which Comfort Shoe Store is closest to the corner of 10th Street West and 10th Street?,Feet For Life
315,Which biergarten is closest to the corner of 11th Street and 10th Street?,Figueroa Mountain Brewing Company
316,Which apartment is closest to the corner of 10th Street and 111th Street?,Regelin Hall
317,Which dentist is closest to the corner of 115th Street East and 100th Street?,ACE Dental
318,Which childcare is closest to the junction of 11th Street and 10th Street East?,Tiny Heartz Daycare LLC
319,Which bear_box is closest to the corner of 11th Street and 108?,Gould Mesa Trail Camp
320,Which dojo is closest to the junction of 10th Street and 110th Street?,Caique Jiu Jitsu
321,Which courthouse;library is nearest to the junction of 111th Street and 11th Street?,Imperial County Courthouse;Imperial County Law Library
322,Which binoculars is nearest to the corner of 10th Street and 10 Double?,Nob Hill
323,Which animal_boarding is nearest to the corner of 10th Street and 115th Place?,Canyon View Ranch
324,Which driver_training is closest to the junction of 10th Street and 10th Street?,Operating Engineers Training Trust - Devore
325,Which art_school is nearest to the intersection of 11th Court and 11th Street?,Art Zone
326,Which bicycle_parking is closest to the corner of 110th Street West and 11th Street?,CalArts Bicycle Parking
327,Which dancing_school is closest to the intersection of 10th Street West and 11th Avenue?,Vernetta's Dance Studio
328,Which bus_station is closest to the intersection of 10th Street West and 11th Street?,Long Beach Transit Gallery
329,Which cinema is nearest to the intersection of 105th Street West and 10th Avenue?,Cinemark
330,Which Casting_Center is closest to the corner of 100th Street West and 110th Street West?,Disneyland Resort Casting Center
331,Which church is closest to where 10th Street meets 110th Street East?,Calvary Chapel Children's Church
332,Which cooking_school is closest to where 10th Street West meets 115th Street West?,Claremont Chefs Academy
333,Which ferry_terminal is nearest to the corner of 113 and 108th Street?,Catalina Express Long Beach Downtown Landing
334,Which courthouse is nearest to the intersection of 11th Street and 11th Street?,San Pedro County Courts Building
335,Which arts_centre is closest to the corner of 10th Avenue and 10th Street West?,Anaheim Cultural Arts Center
336,Which archive is closest to where 111th Street meets 100th Street West?,Academy of Motion Picture Arts and Sciences Film Archive
337,Which family_planning is closest to the corner of 106 and 1?,West Coast Surrogacy
338,Which auditorium is nearest to the intersection of 106 and 101st Street?,CSL Rm 333 Auditorium
339,Which ferry_terminal is closest to where 11th Street meets 10th Street?,Catalina Express Long Beach Downtown Landing
340,Which fixme is closest to where 115th Street West meets 10th Street?,Nature’s Juice
341,Which bench is closest to the intersection of 116th Street and 10th Street West?,Red Point
342,Which childcare is nearest to the junction of 10th Street and 100?,Tiny Heartz Daycare LLC
343,Which car_sharing is closest to where 10th Street meets 11th Avenue?,blueLA
