Question,Answer
105,How far is 1401 Bailey Avenue from 17th-Freeman?,390765.30 meters
106,How far is 10th St W & Ave J from 120th & Central?,104085.34 meters
107,How far is 2 from 12W02-310E?,250307.87 meters
108,How far is 1st-Shannon from 12?,60278.55 meters
109,"How far is 172 from 1, 4?",371378.47 meters
110,How far is 161 and 423 from 052?,51966.54 meters
111,How far is 15 from 1st & Pacific Coast Highway?,386302.60 meters
112,How far is 11th Av & F St from 168 Market?,187593.36 meters
113,How far is 101 Noodle Express 魯味居 from 1st & Hope?,15890.98 meters
114,"How far is 12,14 from #12159. Bus 180?",331512.13 meters
115,How far is 103rd Street/Watts Towers from 1st Street & Hill Street?,15009.79 meters
116,How far is 16A from 111?,313767.87 meters
117,How far is 12 from 1st & Vignes?,92564.70 meters
118,How far is 2 from 1st & Boyle?,166442.98 meters
119,How far is 20th St E & Ave J from 17th-Bristol Market Place?,127279.80 meters
120,How far is 2 from 08?,60021.66 meters
121,How far is 15 from 17th-College?,404448.96 meters
122,"How far is 1112 W Garvey Ave, Monterey Park, CA 91754 from 1308 Waterloo Street?",14233.28 meters
123,How far is 15 from 1st-Cooper?,427048.95 meters
124,How far is 210-094 from 19?,269044.79 meters
125,How far is 15 from 046?,352427.49 meters
126,How far is 20th & Olympic from 11?,144623.54 meters
127,How far is 10th St W & Ave J-12 from 10?,249536.25 meters
128,How far is 1930's Colorado River Work Boat from 13th Tee?,287577.37 meters
129,How far is #184 from 1800?,99658.61 meters
130,How far is 14th Tee from 13th Tee?,136.33 meters
131,How far is 15 from 17th-Ross?,203633.06 meters
132,How far is 17th & Broadway from 210-115?,30645.02 meters
133,How far is 12 post hedgehog cactus from 173?,191539.15 meters
134,How far is 1st & Evergreen from 14th & California?,32111.32 meters
135,How far is 15 from 003?,363467.16 meters
136,How far is 17th-Orange from 1st & Vignes?,65629.12 meters
137,How far is 1St Street Bar from 15?,542850.81 meters
138,How far is 12 from 16?,181024.02 meters
139,How far is 1st & Grand from 10th St W & Ave J-12?,84746.94 meters
140,How far is 215 from 10?,118912.04 meters
141,How far is 12 from 20 - SW cor GL3 S3 T32S R47E MDM?,228289.22 meters
142,How far is 2 from 10?,56623.50 meters
143,How far is 101 & Alvarado from 17th-Pecan?,61311.69 meters
144,How far is 1st-Bristol from 200?,37603.76 meters
145,How far is 183rd Street / Alburtis Avenue from 1st Choice Pharmacy?,166632.52 meters
146,How far is 100A Community Center from 1?,31135.89 meters
147,How far is 121 from 1st Lieutenant Jared M. Landaker US Marine Corps Memorial Highway?,106757.20 meters
148,How far is 17th Street Bar and Grill from 2?,167746.11 meters
149,How far is 17th-Placentia from 20th & Pearl?,78543.94 meters
150,How far is 1930's Colorado River Work Boat from 15 Tee?,495421.53 meters
151,How far is 13 from 1st & Fresno?,233286.59 meters
152,How far is 1 from 12 - S cor S2 T12N R1E SBM?,266454.91 meters
153,How far is 10 from 1?,181910.93 meters
154,How far is 15 from 11th Av & F St?,154980.60 meters
155,How far is 187 / Pasadena from 16th @ Medical Center Westbound?,87705.89 meters
156,How far is 15 from 1st-Yorba?,154752.38 meters
157,How far is 1st & Mission from 1st-Bristol?,55704.41 meters
158,How far is 18th & Western from 1?,154107.42 meters
159,How far is 135? from #220?,305301.92 meters
160,How far is 183rd Street / Alburtis Avenue from 14th & Colorado?,49113.92 meters
161,How far is 2 from 21?,26597.57 meters
162,How far is 2 from 22?,517114.99 meters
163,How far is 12 from $300 Data Recovery?,18366.36 meters
164,How far is 120th & Wadsworth from 17th-Broadway?,48585.39 meters
165,How far is 12 from 15a?,166980.11 meters
166,How far is 11th & Santee from 1st & Evergreen?,6025.75 meters
167,How far is 17th-Bristol Market Place from 15th St W & Ave J-8?,127608.26 meters
168,How far is 2 from 12 Tee?,211035.98 meters
169,How far is 100 Wilshire Donor Antenna from 1CR?,333258.25 meters
170,How far is 17th-Concord from 17th-Enderle Center?,2125.79 meters
171,How far is 12 from 17th-Holt?,11454.13 meters
172,How far is 1st & Cummings from 18 Tee?,72306.38 meters
173,How far is 003 from 111?,130453.68 meters
174,How far is 1 from 172?,154058.58 meters
175,How far is 10 Speed Coffee from 1?,12418.36 meters
176,How far is 21 Oceanfront from 13th hole?,104067.71 meters
177,How far is 11 from 173?,167127.55 meters
178,How far is 12th Hole from 1st & Lorena?,165327.59 meters
179,How far is 17th-Superior from 1?,60193.82 meters
180,How far is 17th-Williams from 1st-Main?,3797.92 meters
181,How far is 101 & Western from 13 post agave?,250237.44 meters
182,How far is 173 from 10 Freeway and Azusa Avene West?,56927.28 meters
183,How far is 19 Sports Bar & Grill from 12th & Imperial Transit Center?,118872.94 meters
184,How far is 170th St. E & Ave K-8 from 15?,386442.30 meters
185,How far is 17th-Tustin from 14th & Pico?,81259.45 meters
186,How far is 15 from 14th St & F St?,583555.10 meters
187,How far is 17th-Palm from 17th Street Cafe?,72806.08 meters
188,How far is 0556 from 101D 201D 301D?,100815.34 meters
189,How far is 12 from 13 Tee?,58210.60 meters
190,How far is 173 from 20th & Delaware?,72557.55 meters
191,How far is 17 from 1st-Tustin?,85665.24 meters
192,How far is 2 from 1st-Lyon?,167219.77 meters
193,How far is 135? from 15?,673725.09 meters
194,How far is 120th & Compton from 15th St Surf and Supply?,55789.74 meters
195,How far is 15 from 14th & Wilshire?,357410.84 meters
196,How far is 19 from 220 The Village?,259635.15 meters
197,How far is 13 from 11th @ N Northbound?,191613.05 meters
198,How far is 1st & Rose from 15th St W & Ave K?,85049.16 meters
199,How far is 1st-Jackson from 11?,71930.55 meters
200,How far is 100 Years Seal Beach from 10 Speed Coffee?,81591.22 meters
201,How far is 16th @ California Westbound from 10th St W & Ave J-12?,117343.06 meters
202,How far is 17th-Adams from 12 Honey Mesquite?,385987.18 meters
203,How far is 17th-Superior from 103rd Street/Watts Towers?,54214.78 meters
204,How far is 120th & Wadsworth from 19th-Newport?,53430.83 meters
205,How far is 2 from 10?,70176.52 meters
206,How far is 1st Crossing from 15?,601570.27 meters
207,How far is 17th-Penn from 100??,242332.63 meters
208,How far is 15 from 19 Tee?,309471.26 meters
209,How far is 173 from 17th & Hill?,61564.80 meters
210,How far is 1st & Evergreen from 2?,33884.42 meters
211,How far is 12 Tee from 15th St W & Ave J-8?,98358.33 meters
212,How far is 16 from 17th-Orange?,397293.59 meters
213,How far is 13 - SW cor S2 T12N R1E SBM from 11 Basket?,254416.76 meters
214,How far is 20 from 15th St W & Ave J-8?,136558.42 meters
215,How far is 1st & Central from 1?,100155.31 meters
216,How far is 12 from 11th Marines Chow Hall?,465221.15 meters
217,How far is 17th-Superior from 200?,38981.93 meters
218,How far is 10 Desert Fir from 17th-Enderle Center?,369803.35 meters
219,How far is 1st-Main from 11A?,169731.63 meters
220,How far is 10A from 1st Tee?,65480.98 meters
221,"How far is 1st & Cummings from 12,14?",327685.28 meters
222,How far is 1st & Central from #159?,14145.28 meters
223,How far is 16 from 1?,165773.69 meters
224,How far is 173 from 17th-Cabrillo Park?,20974.19 meters
225,How far is 1st & San Pedro from 1st & Alexandria?,7023.21 meters
226,How far is 15 from 23?,598401.45 meters
227,How far is 14 Tee from 2?,293607.71 meters
228,How far is 105? from 2?,238551.00 meters
229,How far is 1902 from 19?,175343.32 meters
230,How far is 22 from 1st-Jackson?,16096.98 meters
231,How far is 15th St W & Ave J-8 from 17th-Main?,136412.56 meters
232,How far is 17th-Pomona from 18th Street Cafe?,80762.33 meters
233,How far is 17th-Cabrillo Park from 11?,181198.57 meters
234,How far is 18 - SW cor SE 1/4 NW 1/4 S3 T32S R47E MDM from 2222 Pharmacy?,231210.56 meters
235,How far is 120th & Compton from 12?,173362.98 meters
236,How far is 14? from 2?,218191.22 meters
237,How far is 1st Street & Hill Street from 2?,61898.89 meters
238,How far is 166th Street / Norwalk Boulevard from 15th St. Surf Shop?,38909.49 meters
239,How far is 17th-Adams from 17th-Hewes?,24771.26 meters
240,How far is 201A 101A from 1946 Willys Jeep?,175541.72 meters
241,How far is 10ES from 10th St W & Ave J?,108890.88 meters
242,How far is 1st & Indiana from 19th-Anaheim?,60584.29 meters
243,How far is 1 post Hummingbird Bush from 11A?,105884.89 meters
244,How far is 1st & Grand from 1st & Boyle?,3427.14 meters
245,How far is 11 from 119?,560302.16 meters
246,How far is 17th-Santa Ana from 15?,413719.43 meters
247,How far is 168 Market from 14th & Michigan?,67684.94 meters
248,How far is 1 from 1st-Ross?,371579.10 meters
249,How far is 1st from 12?,301654.22 meters
250,How far is 19 - NW cor SE 1/4 NW 1/4 S3 T32S R47E MDM from 14th & Michigan?,232762.84 meters
