ID,Question,Answer
171,What amenity is available in Rock n' Fish?,restaurant
172,What amenity can be found at Big Wang's?,restaurant
173,What amenity is available in Cafe Etc.?,restaurant
174,What amenity can be found in Baja Fresh?,fast_food
175,What amenity is featured at Chipotle?,fast_food
176,What amenity can be found in Luscious Dumplings 潤豐元餃子?,restaurant
177,What amenity is available at Jerry's Famous Deli?,restaurant
178,What amenity is present within Bossa Nova?,restaurant
179,What amenity is available in Gould Mesa Trail Camp?,bear_box
180,What amenity is available in Camp Hi-Hill?,school
181,What amenity is present in La Jolla Presbyterian?,place_of_worship
182,What amenity is featured at Mormon Rocks?,fire_station
183,What amenity is present within Deep Creek Hot Springs?,public_bath
184,What amenity is available in Beverly Hills Public Library?,library
185,What amenity can be found at Einstein Bros. Bagels?,fast_food
186,What amenity is featured at The Wits End?,restaurant
187,What amenity is present in The Thai Grill?,restaurant
188,What amenity can be found at Backdoor Bakery?,cafe
189,What amenity is available at Pizza Hut?,restaurant
190,What amenity is available in Subway?,fast_food
191,What amenity can be found in Chiquita's Mexican Food?,restaurant
192,What amenity can be found in Flicks?,bar
193,What amenity is present within Pokéz?,restaurant
194,What amenity is present in Brand Family Gravesite?,grave_yard
195,What amenity can be found at Acacia School?,school
196,What amenity can be found in Academy of our Lady of Peace?,school
197,What amenity is available in John Adams Elementary School?,school
198,What amenity can be found in John Adams Elementary School?,school
199,What amenity can be found at Jane Addams Elementary School?,school
200,What amenity is featured at Aggeler High School?,school
201,What amenity is available in Alamo School?,school
202,What amenity is featured at Alcott Elementary School?,school
203,What amenity is present in Aldama Elementary School?,school
204,What amenity can be found at Aliso School?,school
205,What amenity is present within All Saints School?,school
206,What amenity can be found in All Souls Catholic School?,school
207,What amenity is present within Allen Avenue Elementary School?,school
208,What amenity is present in Ella B Allen-Ann Daly Elementary School?,school
209,What amenity is present within Alpine Elementary School?,school
210,What amenity can be found at Alta Loma Elementary School?,school
211,What amenity can be found at Alta School?,school
212,What amenity is available in Alvarado Intermediate School?,school
213,What amenity is available in Alverno Heights Academy?,school
214,What amenity is present in Alvin Elementary School?,school
215,What amenity is featured at Alvord Continuation High School?,school
216,What amenity is featured at Amar School?,school
217,What amenity is available at Amherst School?,school
218,What amenity can be found at William Anderson Elementary School?,school
219,What amenity is available in Annunciation School?,school
220,What amenity can be found in Anthony School?,school
221,What amenity can be found in Anza School?,school
222,What amenity can be found in Apperson Elementary School?,school
223,What amenity is present within Aragon Avenue Elementary School?,school
224,What amenity is featured at Arcadia Christian School?,school
225,What amenity is present in Arizona Middle School?,school
226,What amenity is available in Arlington Heights Elementary School?,school
227,What amenity can be found in Arminta Elementary School?,school
228,What amenity is present in Arroyo School?,school
229,What amenity is present within Art Center School?,school
230,What amenity can be found at Artesia School?,school
231,What amenity can be found at Ascension School?,school
232,What amenity can be found at Ascension School?,school
233,What amenity is present within Assumption School?,school
234,What amenity can be found in Asuncion School?,school
235,What amenity is available in Avenue School?,school
236,What amenity is available at Azusa Pacific University?,school
237,What amenity can be found at Baker Elementary School?,school
238,What amenity can be found at Jenny T Baker Elementary Shcool?,school
239,What amenity is present in Bakersfield Junior Academy?,school
240,What amenity is present within Baldwin Park Christian School?,school
241,What amenity is featured at Baldwin School?,school
242,What amenity is available in Baldwin Stocker Elementary School?,school
243,What amenity is available in Cajon Valley Union School District?,school
244,What amenity can be found at Bancroft Community School?,school
245,What amenity is available at Banning School?,school
246,What amenity is available in Baptist Day School?,school
247,What amenity is present in Baptist Day School?,school
248,What amenity can be found at Baptist Theological Seminary?,school
249,What amenity can be found at Barbara Webster Elementary School?,school
250,What amenity is present in Barrett School?,school
