ID,Question,Answer
70,"Which is nearer to Amherst School, William Anderson Elementary School or Annunciation School?",Annunciation School
71,"Which place is closer to Anthony School, Anza School or Apperson Elementary School?",Apperson Elementary School
72,"Which is nearer to Aragon Avenue Elementary School, Arcadia Christian School or Arizona Middle School?",Arizona Middle School
73,"Which one is closer to Arlington Heights Elementary School, Arminta Elementary School or Arroyo School?",Arroyo School
74,"Which is closer in distance to Art Center School, Artesia School or Ascension School?",Ascension School
75,"Which one is closer to Ascension School, Assumption School or Asuncion School?",Asuncion School
76,"Which spot is closer to Avenue School, Azusa Pacific University or Baker Elementary School?",Baker Elementary School
77,"Which place is closer to Jenny T Baker Elementary Shcool, Bakersfield Junior Academy or Baldwin Park Christian School?",Baldwin Park Christian School
78,"Which place is closer to Baldwin School, Baldwin Stocker Elementary School or Cajon Valley Union School District?",Cajon Valley Union School District
79,"Which place is closer to Bancroft Community School, Banning School or Baptist Day School?",Baptist Day School
80,"Which is closer in distance to Baptist Day School, Baptist Theological Seminary or Barbara Webster Elementary School?",Barbara Webster Elementary School
81,"Which is closer to Barrett School, Bassett School or Bellflower Adult Education Center?",Bellflower Adult Education Center
