ID,Question,Answer
71,What amenities can be found within 100m of The Blue Door?,doctors; fast_food; place_of_worship; restaurant; theatre
72,What amenities are within 100m of Vermont & James M Wood?,No amenities found
73,Which amenities are within 100m of San Luis Obispo County Department of Planning and Building?,arts_centre; bar; bench; bicycle_parking; bus_station; clock; courthouse; library; post_box; restaurant; toilets
74,What are the amenities located within 100m of Mirasol?,No amenities found
75,Which amenities are within 100m of Jefferson Junior High School?,school
76,What amenities exist within 100m of La Jolla Villlage Drive & Regents Road?,No amenities found
77,What amenities can be found within 100m of Glacier Water?,charging_station; fast_food; vending_machine
78,What amenities can be found within 100m of Panera Bread?,fast_food
79,"What amenities can be found within 100m of Woodland Hills / Calabasas Speech & Language Center- Lisa Harwin, M.A., CCC-SLP?",No amenities found
80,What are the amenities located within 100m of Old Adobe?,No amenities found
81,What are the amenities within 100m of Joshua Springs School?,No amenities found
82,What amenities exist within 100m of Figueroa & 88th Place?,No amenities found
83,"What are the amenities within 100m of Right Angle Solutions, Inc?",veterinary
84,What amenities are within 100m of La Tijera Community Center?,community_centre
85,What are the amenities within 100m of Harbor Tower Elevator Bank southwest entrance?,bar; ice_cream; parking; parking_entrance; pub; reception_desk
86,What amenities exist within 100m of Church of the Nazarene?,place_of_worship
87,What amenities are located within 100m of Tillys?,No amenities found
88,What are the amenities located within 100m of Sunset & Kenter?,No amenities found
89,What amenities are within 100m of College of the Tehachapis?,school
90,Which amenities are within 100m of M&M Carpet?,car_wash; place_of_worship
91,What amenities are within 100m of 30th Street & Juniper Street?,cafe; fast_food; restaurant
92,What are the amenities within 100m of Riverside County Fire Department Station #11?,fire_station
93,Which amenities are within 100m of Sesame Grill?,cafe; restaurant
94,What amenities are within 100m of Hermosa Beach Community Center?,bicycle_parking; community_centre; theatre
95,What amenities are within 100m of Bank of America?,atm; bank
96,What amenities are within 100m of The Lexus Experience?,cinema; clinic; fast_food; restaurant
97,What amenities are within 100m of OCTA?,No amenities found
98,What are the amenities located within 100m of Admissions Undergraduate?,bench; bicycle_parking; cafe; fountain
99,Which amenities are within 100m of La Veta-Lemon?,No amenities found
100,What amenities are within 100m of timeless?,bar; cafe; theatre
101,What amenities exist within 100m of Robeks?,cafe; fast_food
102,What amenities exist within 100m of Magnolia-Winston?,No amenities found
103,What amenities can be found within 100m of Photography Bird Hide?,No amenities found
104,What amenities can be found within 100m of 826LA?,cafe; marketplace; pharmacy; restaurant
105,What amenities can be found within 100m of G&M?,fuel
106,What amenities are within 100m of Dixieland?,No amenities found
107,What are the amenities within 100m of Cherony's Deli?,fast_food
108,Which amenities are within 100m of Fire Alarm?,drinking_water; fast_food; toilets
109,What are the amenities within 100m of Community Bank?,bank; parking_entrance
110,What amenities can be found within 100m of CNV Auto Parts?,restaurant
111,What amenities are within 100m of Joey's Pizza?,fast_food; parking_entrance
112,What amenities exist within 100m of McDonald's?,bar; cafe; fast_food
113,What amenities exist within 100m of Yucca Rental?,fast_food; restaurant
114,What amenities can be found within 100m of City Bible Church?,place_of_worship
115,"What amenities are within 100m of Metro 70, 770?",bank
116,What amenities can be found within 100m of 1?,No amenities found
117,What amenities can be found within 100m of Gold's Gym?,library; school
118,What amenities are within 100m of Puma?,cafe; fast_food
119,What are the amenities located within 100m of 35?,No amenities found
120,What amenities are located within 100m of Lollipop Dental?,atm; bank; cafe; clinic; dentist; doctors; restaurant
121,Which amenities are within 100m of San Salvador Restaurant?,restaurant; telephone
122,What amenities can be found within 100m of Deli Belly?,atm; dojo; fast_food; fuel; ice_cream; vending_machine
123,What amenities are located within 100m of Kotija Jr Taco Shop?,cafe; parking; pharmacy; post_office; restaurant; vending_machine
124,"Which amenities are within 100m of In Memory Of SP/4 John A. Rogers, USA - KIA Vietnam 20 Apr 1968?",No amenities found
125,What are the amenities located within 100m of Fawnskin Post Office?,cafe; post_office
126,What amenities can be found within 100m of Del Amo & Bellflower?,clinic; fast_food; restaurant
127,What amenities are located within 100m of Irvine Center-Hubble?,No amenities found
128,What amenities exist within 100m of Magnolia & 19th?,No amenities found
129,What amenities are within 100m of La Palma-Citron?,No amenities found
130,What are the amenities located within 100m of Mount Wilson Trail Park?,No amenities found
131,What amenities are within 100m of Vital Beauty?,bank; restaurant
132,What amenities exist within 100m of Poway Integrity Automotive?,fast_food
133,What are the amenities within 100m of KROR-FM (Yucca Valley)?,No amenities found
134,What are the amenities located within 100m of Clousespaniac Attorneys?,bar; dentist
135,What amenities are located within 100m of El Pollo Inka?,clinic; dojo; fast_food; parking_entrance; prep_school; restaurant
136,What are the amenities within 100m of Euclid-Hazard?,No amenities found
137,Which amenities are within 100m of Sessions Personal Trainer?,ice_cream
138,What amenities are located within 100m of Tumbleweed and Dandelion?,bar; fast_food; pub; restaurant
139,What amenities are located within 100m of Orange County Ballroom 3 North Entrance?,No amenities found
140,What are the amenities located within 100m of Duarte Warrington?,bench
141,Which amenities are within 100m of Pacific Coast-Studebaker?,bank
142,What are the amenities within 100m of Micro Computer Center?,fast_food; restaurant
143,What are the amenities within 100m of Rainbow Harbor Entrance Light West?,bench
144,What amenities can be found within 100m of FIFTYaFIX?,No amenities found
145,What amenities are located within 100m of Cleveland Pool?,No amenities found
146,What amenities can be found within 100m of De la Vina & Canon Perdido?,restaurant
147,What amenities exist within 100m of Curry Up Now?,atm; bank; bicycle_parking; cafe; drinking_water; fast_food; parcel_locker; police; post_box; restaurant
148,What are the amenities located within 100m of Food 4 Less?,No amenities found
149,Which amenities are within 100m of Wells Fargo?,bank; fast_food; restaurant
150,What amenities are located within 100m of Cahuenga & Universal Studios?,No amenities found
151,What amenities exist within 100m of Pizza Hut?,fast_food; restaurant
152,What amenities exist within 100m of P38?,bicycle_repair_station; parking_entrance; restaurant
153,What amenities are within 100m of Fitness 1 Express?,ice_cream
154,Which amenities are within 100m of Starbucks?,cafe; ice_cream; restaurant; theatre
155,What amenities are within 100m of Blue Bell Mine?,No amenities found
156,What amenities are within 100m of Enterprise?,cafe; car_rental; clinic; dentist; doctors; fast_food; post_office; restaurant
157,What amenities are located within 100m of Coast-Saint Anns?,No amenities found
158,"What amenities exist within 100m of Rokita Law, PC?",bank; cafe; parking_entrance; post_box; prep_school
159,What are the amenities within 100m of Blake @ Otono Westbound?,No amenities found
160,What amenities are located within 100m of Western & Florence?,fast_food
161,What amenities are within 100m of Bristol-Saint Gertrude?,No amenities found
162,What are the amenities located within 100m of New Moon?,cafe; restaurant
163,What are the amenities within 100m of Meridian Urgent Care?,clinic; restaurant
164,What are the amenities within 100m of Lakeshore Drive & Eastlake Drive?,No amenities found
165,What amenities are within 100m of Lennox?,No amenities found
166,What amenities are within 100m of The Outlet?,bank; cafe; fast_food; post_box; restaurant
167,Which amenities are within 100m of Hertz?,car_rental
168,What amenities are located within 100m of Birdie G's?,restaurant
169,What amenities are located within 100m of Mulholland Highway at Viewpoint School?,No amenities found
170,What are the amenities within 100m of Free People?,No amenities found
171,What amenities can be found within 100m of Flower-6th?,No amenities found
172,What are the amenities located within 100m of First Church of Christ Scientist?,place_of_worship; telephone
173,What amenities can be found within 100m of Sports Harbour Bar & Grill?,bar
174,What amenities are located within 100m of AutoZone?,community_centre
175,Which amenities are within 100m of Apple Store?,No amenities found
176,What amenities are located within 100m of U.S. Navy JP-5 pipeline marker?,No amenities found
177,What are the amenities within 100m of 76?,fast_food; fuel
178,What amenities are within 100m of Cypress Gardens Care Center?,No amenities found
179,What amenities can be found within 100m of Veronica's Insurance?,dentist; restaurant
180,What amenities can be found within 100m of JTYH Restaurant?,fast_food; restaurant
181,What amenities exist within 100m of KAL Lounge?,bank; bar; cafe; fast_food; restaurant; toilets
182,Which amenities are within 100m of Lindero 785 Dam?,No amenities found
183,What amenities are within 100m of Cosmos?,atm; bureau_de_change; cafe; dentist; fast_food; pharmacy; place_of_worship; toilets; townhall
184,What amenities can be found within 100m of Sushi Gala?,bbq; cafe; fast_food; fountain; ice_cream; parking_entrance; restaurant; school
185,What are the amenities located within 100m of Discount Tile Center?,No amenities found
186,Which amenities are within 100m of The Sanctum?,bench; clock; drinking_water; fast_food; theatre; toilets
187,What amenities exist within 100m of Watermill Express?,dentist; restaurant
188,What are the amenities located within 100m of South Fontana Community Church?,place_of_worship
189,What are the amenities within 100m of Foothill Transit 197?,No amenities found
190,What amenities can be found within 100m of A Salon Paul Mitchell?,fast_food; kindergarten
191,What amenities are located within 100m of Hobsonway & 7th Street- SSA/Albertson's?,No amenities found
192,What amenities are located within 100m of Community Food Pantry of Murrieta?,cafe; clinic; dentist; fast_food; post_office; restaurant; social_facility
193,What amenities are within 100m of A Kid's Place?,bicycle_parking; cafe; dojo; kindergarten; music_school; restaurant
194,What amenities exist within 100m of Lemon Poppy Kitchen?,restaurant
195,What are the amenities located within 100m of Bundy & Exposition (Bundy Station)?,bicycle_parking; vending_machine
196,What amenities are located within 100m of Highway 101 & Lomas Santa Fe Drive?,bicycle_parking; drinking_water; ice_cream; restaurant; toilets; vending_machine
197,What amenities can be found within 100m of CP Capitol?,No amenities found
198,What amenities are located within 100m of Jersey Mike's Subs?,bank; cafe; fast_food; parking_entrance; restaurant
199,What are the amenities located within 100m of Tracy & Ames?,No amenities found
200,Which amenities are within 100m of Vision Boutique?,bank; clinic; ice_cream; post_office; prep_school
201,What amenities can be found within 100m of Vernon & Long Beach?,No amenities found
202,Which amenities are within 100m of Invincible Creative?,No amenities found
203,What amenities exist within 100m of Starbucks?,cafe; post_office
204,What are the amenities located within 100m of The Baked Bear?,cafe; clinic; ice_cream
205,What amenities are within 100m of Natalee Thai?,fast_food; restaurant
206,What amenities are located within 100m of Sugar Nail?,cafe; ice_cream; restaurant
207,What amenities are within 100m of Hello Betty Fish House?,restaurant
208,What amenities exist within 100m of The Lund Team?,dojo
209,What amenities are within 100m of Holy Faith Episcopal Church?,clinic; place_of_worship
210,What are the amenities located within 100m of Comet Creative?,No amenities found
211,What are the amenities located within 100m of JT Tek Services?,restaurant
212,What amenities can be found within 100m of Subway?,atm; fast_food; fuel
213,What amenities can be found within 100m of Sierra Lakes Parkway @ Citrus Eastbound?,No amenities found
214,What amenities exist within 100m of Baskin-Robbins?,dentist; fast_food; ice_cream; restaurant
215,Which amenities are within 100m of Placentia-Victoria?,No amenities found
216,Which amenities are within 100m of El Segundo Refinery?,No amenities found
217,What are the amenities within 100m of Samosa House?,cafe; restaurant; veterinary
218,What are the amenities located within 100m of CorePower Yoga?,car_wash; restaurant
219,What amenities can be found within 100m of Pizza Cookery?,restaurant
220,What amenities are located within 100m of Table Mountain?,No amenities found
221,What amenities are located within 100m of Yahir?,bar; cafe; fuel; restaurant
222,What amenities are located within 100m of Latin America Bible Institute?,college
223,What amenities are within 100m of Atherton & Fanwood?,No amenities found
224,Which amenities are within 100m of 9th & Hope?,bench; bicycle_parking; cafe; fast_food; parking_entrance; restaurant
225,What amenities exist within 100m of Red Hill-Edinger?,cafe; restaurant
226,What amenities can be found within 100m of Haley Hotel?,No amenities found
227,What amenities are located within 100m of Overland Tire Center?,kindergarten; social_facility
228,What amenities exist within 100m of Parade Route Lighting Tower?,bench; clock; drinking_water; fountain; post_box; theatre; toilets
229,What amenities are within 100m of Artifex On Del Mar?,bar; bench; cafe; ice_cream; restaurant
230,What are the amenities located within 100m of Citibank?,atm; car_wash; fast_food; fuel; restaurant
231,What are the amenities located within 100m of Central & 8th?,fuel
232,What are the amenities located within 100m of T-Mobile?,No amenities found
233,What amenities are within 100m of Pico Rivera?,fast_food; restaurant
234,What amenities are located within 100m of Grebe?,No amenities found
235,What amenities can be found within 100m of Q?,cafe; fast_food; parking_entrance; restaurant
236,What are the amenities within 100m of Yogurtland?,bicycle_parking; cafe; clinic; fast_food; parking_entrance; restaurant; watering_place
237,What are the amenities located within 100m of Cyclo Noodles?,fast_food; restaurant; veterinary
238,What are the amenities located within 100m of Livingston & Termino?,fuel
239,What amenities exist within 100m of Jack in the Box?,fast_food
240,What amenities are within 100m of Clearsource?,No amenities found
241,Which amenities are within 100m of Early Childhood Education Center?,No amenities found
242,What amenities can be found within 100m of Sa-Rang Community Church Kingdom Dream Center?,place_of_worship
243,What amenities can be found within 100m of Tasty Goody?,restaurant
244,What are the amenities located within 100m of C&C Door?,No amenities found
245,What are the amenities within 100m of Panda Express?,cafe; fast_food; ice_cream; restaurant
246,What amenities can be found within 100m of Crestline Valero?,fuel
247,What amenities exist within 100m of Makeup Academy?,dentist; events_venue; restaurant; social_centre
248,What are the amenities located within 100m of Charles G Emery Elementary School?,school
249,What are the amenities located within 100m of Appliance Repair by Asurion?,No amenities found
250,What amenities exist within 100m of Palm Canyon Road & 818?,No amenities found
