ID,Question,Answer
214,What is the nearest check_in found south of West Arcadia?,Ticketing | Check In
215,What is the closest disused east of East Arcadia?,PHD Remodel
216,What is the closest restaurant located north of Sycamore Cove?,Tortillas
217,What is the nearest hitching_post situated north of Fillmore?,Romero Bench Hitching Post
218,What is the nearest fuel;car_wash west of Salton?,76
219,What is the nearest stripclub situated south of Angelus Oaks?,Spearmint Rhino Gentlemen's Club
220,What is the nearest bus_station found west of Cherokee Strip?,Transit Center;Santa Barbara Transit Center
221,What is the closest events_venue north of Duarte?,USU East Conference Center
222,What is the nearest grave_yard situated south of Highland Springs?,Inglewood Cemetery Mortuary
223,What is the nearest animal_boarding situated south of Leesdale?,Canyon View Ranch
224,What is the closest art_work positioned north of Anza?,Stanley
225,What is the nearest snack situated south of Cotners Corner?,Turkey Legs
226,What is the nearest Orthopedic Surgeon Torrance located south of Arlight?,Mellano Orthopedics
227,What is the closest gold_exchange positioned west of Bostonia?,GoldMax
228,What is the nearest audiologist located south of Johnstons Corner?,HearUSA
229,What is the closest ice_cream positioned south of Chase?,Baskin-Robbins
230,What is the nearest sanitary_dump_station found south of Bicknell?,Flying Flags RV Resort
231,What is the closest ferry_terminal located south of Nuevo?,Dana Wharf
232,What is the nearest fast_food north of Oxnard Shores?,Little Caesars
233,What is the nearest reception_desk located south of Brea?,Guest Services
234,What is the closest fast_food located north of Rialto?,Jack in the Box
235,What is the nearest fuel;atm found south of Rimrock?,Chevron
236,What is the closest fuel;atm located east of Valinda?,Chevron
237,What is the nearest book_return situated west of Holcomb Village?,Cerritos Library book return
238,What is the closest library located west of La Verne?,Charter Oak Branch County of Los Angeles Public Library
239,What is the closest coworking_space positioned north of Leisure World?,GoBuild
240,What is the nearest fixme south of Stonehurst?,Nature’s Juice
241,What is the closest art_work positioned east of Lost Hills?,Stanley
242,What is the nearest Attorneys situated north of Radec?,Law Office of Raymond Perez
243,What is the nearest fuel;atm situated west of Fizzben Heights?,Chevron
244,What is the closest check_in located west of Potrero?,Ticketing | Check In
245,What is the closest yes west of Little Morongo Heights?,ChromeCart
246,What is the closest boat_rental south of North Shafter?,SEA Landing
247,What is the nearest events_venue located west of Fondo?,Villa Barhi
248,What is the nearest police east of Montebello?,Pico Rivera Sheriffs Station
249,What is the nearest polling_station situated east of Corona?,Joslyn Senior Center
250,What is the nearest electronic_repair north of Lakeview?,iRepair
