ID,Question,Answer
39,What pharmacy is beside Katella-Harbor,Walgreens
40,What restaurant is close to Laemmle Town Center 5?,Yamato; Philly's Best; Pieology Pizzeria
41,What school is next to First Baptist Church of Chula Vista?,Pilgrim Lutheran School; Christian Academy of Chula Vista
42,What fast_food is close to Urbane Cafe?,WaBa Grill
43,What bank is next to South of Baldwin Avenue Eastbound?,Wells Fargo; Wachovia Bank
44,What pub is near Culver City Farmers' Market?,The Auld Fella
45,What fast_food is adjacent to Ono Hawaiian BBQ?,Chipotle; Jersey Mike's Subs
46,What cafe neighbors Jerome's Furniture?,Starbucks
47,What ice_cream neighbors Violet Boutique?,Chantilly’s Ice Cream
48,What cafe is right by Mykita?,Il Caffe
49,What community_centre is close to Pico Branch Library?,Thelma Terry Building
50,What bar is next to Orange Bone?,Blown Out
51,What atm is beside 15th St. Surf Shop,Wells Fargo
52,What cafe is beside Rick's,Leelin Bakery and Cafe
53,What place_of_worship is close to Ethiopian Evangelical Christian Fellowship Church?,Calvary Evangelical Lutheran Church
54,What healthcare is right by Color Me Mine?,Restore Hyper Wellness
55,What college is next to Colegio Mexicoamericano Secundaria?,Colegio Vizcaya; Instituto Maral; Preparatoria Heroes de Mexico
56,What fast_food is beside Revol Nail & Salon,My Store 3:16 Boba Express
57,What restaurant is beside TEC Cafe,Ridgewalk Social
58,What restaurant is adjacent to The Grain Cafe?,Happy Veggie; Bollywood Zaika
59,What fast_food neighbors Lucky's Cafe?,WaBa Grill
60,What restaurant is right by Rosalva's?,LouEddie's Pizza
61,What bar neighbors Chapter One?,Proof
62,What fast_food is beside Romantix Adult Book & Video,Baja Betty's
63,What cafe is close to Daiso Japan?,The Coffee Bean & Tea Leaf
64,What cafe is near 5?,Philz Coffee
65,What bar is near WeHo Sausage Company?,Bar Bohemien
66,What restaurant is near Cheap Vintage?,Casa Garibay
67,What fuel is adjacent to Manchester & Isis?,Arco
68,What restaurant is next to Sunglass Hut?,Mezzet
69,What restaurant is next to Platinum Financial Management?,Boa Steakhouse
70,What clinic is close to Vons?,Action Urgent Care
71,What fast_food is right by The Wee Loft?,Gary's New York Deli
72,What dentist is close to Kin Los Angeles?,Sunset Plaza Dental
73,What restaurant is close to James Perse?,The Tasting Kitchen; Piccolo
74,What cafe is near Vips?,Starbucks
75,What dentist is next to Carpet Corner?,Cali Smiles
76,What restaurant is close to Harbor Island Light?,Tom Ham's Lighthouse
77,What money_transfer is next to U-Zen?,Envios Monte Alban
78,What restaurant is right by Chinatown?,Nanay Gloria's; Mamma Mia
79,What restaurant neighbors Golden China?,The Jerk Spot
80,What fast_food is beside Tanor,Subway
81,What cafe is adjacent to Helen's Wine Shop?,Cofax Coffee Fairfax
82,What fast_food is close to T-Mobile?,Little Caesars
83,What fast_food is adjacent to Ono Hawaiian BBQ?,Chipotle; Jersey Mike's Subs; California Fish Grill
84,What cafe is right by Super Mex?,Gelato
85,What restaurant is adjacent to Chopsticks Chinese Cuisine?,The Original Pancake House; Pacific Pizza
86,What post_office is right by Snooze an AM Eatery?,FedEx
87,What restaurant is right by Diego Cardoso?,TBLA Catering & Cafe
88,What fast_food is close to Taco Bell?,Pizza Hut Express
89,What pub is adjacent to Pomme Frite?,Moxie
90,What cafe is right by LensCrafters?,La Colombe Coffee Roasters; Cha Cha Matcha
91,What library is close to Van Ness & Florence?,Hyde Park Miriam Matthews Branch Los Angeles Public Library
92,What restaurant is beside Rio Azul Mexican Bar,Rooster and the Pig
93,What police neighbors Sierra Madre Fire Department?,Sierra Madre Police Department
94,What charging_station is close to Howdy's?,Tesla Supercharger
95,What restaurant is adjacent to U.S. Bank?,La Gran Terraza
96,What bicycle_rental is near Chinatown?,Spring & College
97,What fast_food is beside The UPS Store,Bella's
98,What fast_food neighbors Baja Fresh?,Jamba
99,What restaurant is beside Poke Cafe,Chihuahua
100,What fast_food is beside Family Dollar,Subway
101,What fuel is close to CosmoProf?,Chevron
102,What restaurant is beside Yucaipa Valley Pharmacy,Taco Village
103,What pub is right by 17th-Pecan?,Redz
104,What fast_food is near Crenshaw & Slauson?,KFC
105,What restaurant is beside Fountain & Edgemont,Found Oyster
106,What cafe is near Louisa's Place?,Peet's Coffee
107,What place_of_worship is adjacent to Yucca Valley Christian School?,Gateway Assembly of God
108,What fast_food is close to 7-Eleven?,Little Caesars
109,What restaurant is next to LB Fashion?,JJ Chinese Express
110,What restaurant is right by Metro by T-Mobile?,El Carbonero; Vietnamese Noodles
111,What bar is next to Beauty Box?,Black Sheep Bar & Grill; Creeky Tiki
112,What fast_food neighbors Cielito Lindo?,Juanitas; El Rancho Grande
113,What bank is adjacent to Pistachio Cut And Color Bar?,Point Loma Credit Union
114,What veterinary is right by Wells Fargo?,BrightCare Veterinary Group - Neurology
115,What fast_food is close to South Coast Dental Specialties?,WaBa Grill
116,What bank is right by Wilshire/Normandie?,Woori
117,What restaurant is near Firehouse Subs?,Burros & fries; bluepokē
118,What restaurant neighbors Manchester Urgent Care?,A La Carte Thai Bistro / Thai Dishes
119,What restaurant is adjacent to The Greenspot Salad Company?,Los Primos Mexican Food; Ika Sushi & Grill
120,What toilets is right by English Premier League Club?,Restrooms; Restrooms
121,What place_of_worship is near Temple of Deliverance Church?,Point of Contact Ministries
122,What bank is beside ABC Fitness Studio,Citizens Business Bank
123,What restaurant is near Redondough?,Bistro Miyoda & Sushi Ichiriki
124,What bank is close to Supercuts?,Chase
125,What restaurant is right by Subway?,Manila Sunset
126,What ice_cream is beside Peking Chinese Restaurant,Menchie's
127,What restaurant is close to Seven Star Cavern Wishing Well?,Hop Louies; Blossom
128,What bank is next to Sriracha Thai Restaurant?,East West Bank
129,What bank is close to H&R Block?,Navy Federal Credit Union
130,What restaurant is right by Fast Trax?,Aloha Cafe
131,What fast_food is right by African Trading Company?,Fortune Cookie Express
132,What fast_food is beside Great Labels Designer Resale,Dunkin'
133,What vehicle_inspection is near Swift Smog?,Angel's Smog Master
134,What clinic neighbors Ashley HomeStore?,Exer Urgent Care
135,What clinic is near Brea-Bracken?,Fertility Care
136,What restaurant is right by Ord & Spring?,The Little Jewel of New Orleans
137,What restaurant neighbors Soma?,Delhi Kitchen
138,What dojo is beside Blazing Smoke Shop,Mi Jong Lo Han Kung Fu and Tai Chi
139,What restaurant is right by Mid-Wilshire?,Top Round Roast Beef
140,What dentist is adjacent to Guaranteed Rate?,Village Dental & Orthodontics
141,What cafe is right by Broadway & College?,Gigo's Cafe & Deli
142,What clinic is beside Jim Duffy Architecture,Starr Dawn PhD
143,What restaurant is right by AHTKY?,The Crab Shack
144,What fast_food is adjacent to Belle Fleur?,Los Jilbertos
145,What restaurant is near Sofa U Love?,Entre Nous French Bistro
146,What restaurant is near Honey Donuts?,Neca's Kitchen
147,What fast_food is near Q?,Wetzel's Pretzels
148,What restaurant is right by Link Central?,Fellow
149,What restaurant neighbors Goodwill?,Peal Thai Noodle House; La Memela
150,What bank is adjacent to Fun?,First Citizens Bank
151,What dentist is next to Mile's New & Used Store?,Joel Bickler
152,What fuel is near USPS?,76
153,What cafe is adjacent to Fridas Tacos?,Cafe 86
154,What prep_school is near Benny's Tacos?,Kumon
155,What bank is right by Rodeo Cleaners?,US Bank
156,What ice_cream is next to Dunkin'?,Baskin Robins
157,What doctors is next to The Bagel Shack?,OC Urgent Care
158,What cafe is right by Pasha Dental?,Mia's Cafe; Ume Tea
159,What bank is adjacent to Bellflower & Flower?,Chase
160,What fast_food is near Honey Baked Ham?,Vallerta Express
161,What restaurant is right by Cox Solutions Store?,Aladdin
162,What restaurant neighbors Little Caesars?,Phở 99; Costa Delmar
163,What parking is beside ChargePoint,City Parking Lot 2
164,What fast_food is next to 7 Days Mart?,Subway; China Express; Domino's
165,What restaurant is right by Starbucks?,Bouchon; Brasil Arts Café
166,What fast_food is beside Supercuts,Pickles & Swiss
167,What restaurant is right by Santee Court Market?,Bronzed Aussie; Pizza Hut
168,What cafe is close to Closet Apparel?,Boba n More
169,What restaurant is right by Arco?,Los Panchos Taco Shop
170,What marketplace is next to Redbox?,Bristol Warner Marketplace
171,What fast_food is right by First Class Pizza?,Wingstop
172,What cafe is beside Star Burger,Brewberry Cafe
173,What restaurant is close to Fantastic Sams?,Obi's Sushi
174,What ice_cream is close to Ying Li?,tropi Fruta
175,What fast_food is near Quiznos?,Chipotle
176,What school is right by Hartwig Prayer Chapel?,Azusa Pacific University
177,What restaurant is close to RTR Express?,El Burrito Panzon
178,What school neighbors Saint Pauls Lutheran Church?,Lutheran School
179,What cafe neighbors Chipotle?,The Coffee Bean & Tea Leaf
180,What fast_food neighbors Wahoo's Fish Taco?,Chicken Dijon; The Standing Room; Phở & Poké
181,What fast_food is next to Everbowl?,El Burro Taco Shop
182,What restaurant neighbors California Coast Credit Union?,D'Lish Gourmet Pasta & Pizza
183,What public_bookcase is near Zelzah/Chatsworth?,Little Free Library
184,What dentist neighbors bobaHi?,Dr. Smile
185,What post_office neighbors Veronica's Kitchen?,Descanso Post Office
186,What place_of_worship is right by Pasadena Christian School?,Lincoln Avenue Presbyterian Church
187,What cafe is right by U.S. Bank?,Starbucks
188,What cafe neighbors Yum Yum Donuts?,Starbucks; Vanitea
189,What ice_cream is near H&M?,McConnell's Fine Ice Creams
190,What restaurant is next to Sephora?,Fresh Brothers Pizza Calabasas
191,What restaurant is right by Village Pizzeria?,Wisteria
192,What cafe is right by Mesa Barbershop?,Snowy Village Dessert Cafe; Ding Tea
193,What restaurant neighbors Jersey Mike's Subs?,Red Baron Pizza; Restaurant & Sports Bar
194,What fast_food is close to Eye Care?,Sombrero Mexican Food; Subway
195,What cafe is near Cake supplies?,Follow Your Heart Cafe
196,What cafe is right by Santa Monica & Gardner;Santa Monica / Gardner?,breakfast by salt’s cure
197,What ice_cream is adjacent to Subway?,Pam's Donut & Ice Cream
198,What restaurant is beside AT&T,Ono Hawaiian BBQ
199,What restaurant is right by Jolanda's Cafe & Catering?,La Llorna Birria & Marisco; Veggos
200,What restaurant neighbors KoRyu Ramen San Pedro?,Senfuku Japannese Restaurant; Sebastian's Mediterranean Cuisine; Baramee Thai Restaurant
201,What restaurant is beside Bird Prick Tea & Herb,Cheval Bistro
202,What restaurant is next to Crown Cleaners?,Bella's Pizza
203,What restaurant neighbors Tokyo Chick?,Fogo de Chão; O2 Sushi pasadena
204,What cafe is beside Beach Cities Real Estate,J'Adore Café
205,What restaurant is next to P.F. Chang's?,Kitchen Of Korea; BJ's
206,What car_rental is next to Crunch Fitness?,Enterprise
207,What restaurant is near Kreuzberg Coffee Company?,Thomas Hill Organics
208,What cinema is near Blick Art Materials?,Laemmle's Royal
209,What restaurant neighbors Clinica Medica Familiar De Santa Ana?,McFadden Public Market
210,What dentist neighbors Barber Shop?,Dentist
211,What restaurant is next to Wilshire & Barrington?,Wood Ranch
212,What dentist is beside Meridien Dental,Santa Monica Dentistry For Children
213,What arts_centre is near Walgreens?,Korean Cultural Center
214,What fast_food is next to Ugo?,Tender Greens
215,What bank is close to Union Bank?,Citibank
216,What restaurant is close to Crisp Imaging?,India Sweets & Spices
217,What fast_food is beside Fred Loya Insurance,Dave's Hot Chicken
218,What cafe neighbors Merkababe Designs?,The Laguna Coffee Company
219,What fast_food is near Yogurtland?,Chipotle; The Melt
220,What cafe neighbors Simply Salad?,The Coffee Bean & Tea Leaf
221,What ice_cream is near Crystal Arts?,The Gibson Girl Ice Cream Parlor
222,What ice_cream neighbors French Press Espresso Bar?,Chubby's Homemade Ice Cream
223,What restaurant neighbors Rite Aid?,Rosa y José
224,What fast_food neighbors T-Mobile?,Jimmy John's; Nekter Juice Bar; Poké Kai
225,What fast_food is near Rhone?,Pressed Juicery
226,What restaurant is adjacent to UCLA Gateway Plaza;Luskin / Gateway Plaza / Ackerman?,Plateia
227,What restaurant is close to Enterprise?,Et Voilà; Ribline
228,What fast_food is close to American Eagle Outfitters?,Auntie Anne's
229,What restaurant is near Blackbeard's?,Tempura House
230,What fast_food is right by Eyes of Westwood?,Taco Bell; Primo's Donuts
231,What car_rental neighbors Et Voilà?,Enterprise
232,What charging_station is next to National & Bagley?,FLO
233,What cafe neighbors Tacos Los Desvelados?,Yoga-urt
234,What doctors is near Advanced Skin Clinic & Surgery?,"Cucamonga Valley Medical Group; Mark Alwan, M.D. Obstetrics & Gynecology; Basim Z. Abdelkarim, M.D. Gastroenterology & Liver Diseases; The Neurology Group; LabCorp; Care for Womens Obstetrics & Gynecology; Parkside Medical Group"
235,What restaurant neighbors Cafe Hue?,Koon Thai Kitchen
236,What restaurant is next to News Connection?,Cross Grain Brewhouse
237,What fast_food is near Walgreens?,Fatburger
238,What fast_food is close to Mama D's?,Rabano; Best Donuts
239,What cafe is adjacent to Central & California?,Starbucks
240,What car_sharing neighbors Mesa Nueva/Vela Parking Structure?,UCSD - Nuevo West
241,What vending_machine is close to La Michoacana Premium?,La Michoacana
242,What cafe is close to Vivi Eatery?,Ten Ren's Tea Time
243,What school neighbors Market Street & 22nd Street?,Our Lady of Angels School
244,What restaurant is beside Rossmore & Melrose,Mario's Peruvian Restaurant
245,What training is near Hour Glass Optical?,Urban Golf Performance
246,What college neighbors Total Tooth Fitness?,Emperors College of Traditional Oriental Medicine
247,What restaurant is right by Thyme Cafe?,Ghisallo
248,What fast_food neighbors European Wax Center?,Chicken BunBun; Organico
249,What restaurant is near Art Printer?,The Corner Door
250,What restaurant neighbors Ray's Pizza?,Tender Greens; ADYA; Breakfast Republic
